"LATITUDE","total_hotspot","avg_brightness","avg_frp","max_frp"
-4.19594,1,329.84,7.48,7.48
-4.19552,1,313.23,1.04,1.04
-4.19525,1,338.82,3.56,3.56
-4.19485,1,325.95,2.22,2.22
-4.19298,1,331.32,2.03,2.03
-4.19264,1,338.41,5.56,5.56
-4.19128,1,343.78,9.71,9.71
-4.18904,1,330.06,3.27,3.27
-4.18808,1,332.39,3.41,3.41
-4.18727,1,340.4,6.5,6.5
-4.18688,1,331.36,2.54,2.54
-4.18633,1,367,6.53,6.53
-4.18469,1,317.97,1.99,1.99
-4.18246,1,329.63,2.25,2.25
-4.18179,1,330.35,2.27,2.27
-4.18152,1,334.34,15.63,15.63
-4.1797,1,330.63,18.25,18.25
-4.1796,1,308.83,0.91,0.91
-4.17868,1,303.93,0.91,0.91
-4.17865,1,331.81,13.37,13.37
-4.17864,1,332.35,3.56,3.56
-4.17644,1,340.05,11.01,11.01
-4.17643,1,337.19,13.43,13.43
-4.17586,1,333.38,10.73,10.73
-4.17496,1,329.34,4.68,4.68
-4.17432,1,345.16,10.67,10.67
-4.17407,1,332.35,6.71,6.71
-4.17384,1,207.93,67.94,67.94
-4.17274,1,334.61,5.84,5.84
-4.17249,1,338.35,2.22,2.22
-4.17122,1,330.19,3.27,3.27
-4.17002,1,330.87,67.92,67.92
-4.16874,1,333.41,5.54,5.54
-4.16716,1,335.22,2.3,2.3
-4.16681,1,328.04,2.41,2.41
-4.16533,1,304.56,1.76,1.76
-4.16522,1,337.18,23.14,23.14
-4.16462,1,309.49,1.05,1.05
-4.16405,1,333.67,4.1,4.1
-4.16402,1,333.44,6.97,6.97
-4.16346,1,329.03,1.31,1.31
-4.16305,1,333.33,2.54,2.54
-4.16233,1,333.13,3.27,3.27
-4.16096,1,307.1,1.94,1.94
-4.1608,1,306.03,0.67,0.67
-4.15907,1,342.23,28.25,28.25
-4.15887,1,339.45,4.99,4.99
-4.15856,1,303.26,0.72,0.72
-4.15784,1,310.95,0.97,0.97
-4.1577,1,339.86,33.16,33.16
-4.15664,1,339.25,8.69,8.69
-4.15609,1,304.53,0.7,0.7
-4.15196,1,307.21,2.43,2.43
-4.15173,1,332.54,3.17,3.17
-4.15134,1,340.57,7.11,7.11
-4.15105,1,330.95,5.32,5.32
-4.15069,1,333.69,4.43,4.43
